GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.repository,UserRepositoryImpl,17,3,0,0,5,1,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.model,Note,35,3,0,0,15,1,10,1,10,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.model,ApiError,13,0,0,0,6,0,3,0,3,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.model,Comment,31,0,0,0,13,0,9,0,9,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.model,User,49,3,0,0,21,1,14,1,14,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.model,Post,21,3,0,0,9,1,6,1,6,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop,UserNotesApplication,5,3,0,0,2,1,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.common,ContentUtils,44,0,0,0,7,0,4,0,4,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.aspect,CommonJoinPointConfiguration,4,0,0,0,2,0,2,0,2,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.aspect,LoggingAdvice,63,7,0,0,8,2,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.aspect,MyCustomConfigurationAspect,38,7,0,0,10,2,2,2,2,2
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.aspect,AuthentificationAdvice,316,10,18,0,52,4,13,1,4,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.service,AuthorizationImpl,4,3,0,0,1,1,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.service,UserService,5,6,0,0,1,3,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.exception,ResourceNotFoundException,37,0,0,0,8,0,4,0,4,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.exception,GlobalExceptionHandler,140,7,8,0,24,2,9,2,5,2
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.exception,UserNotFoundException,23,0,0,0,5,0,3,0,3,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.exception,ContentNotAllowedException,14,0,0,0,5,0,3,0,3,0
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,CommentController,45,3,2,0,9,1,4,1,3,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,PostController,14,3,2,0,4,1,2,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,AuthorizationController,18,6,0,0,3,3,1,1,1,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,NoteController,102,8,0,0,20,2,9,2,9,2
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,IndexController,4,3,0,0,2,1,2,1,2,1
prj-aop-v5.1-ExceptionHandler-strategy,com.example.aop.controller,UserController,3,3,0,0,1,1,1,1,1,1
